ssc_p,hsc_p,hsc_s,degree_p,workex,etest_p,mba_p,status,salary
73,63,Science,66,No,89,60.5,Placed,216000
68.2,72.8,Commerce,66.6,Yes,96,70.85,Placed,300000
77,75,Science,73,No,80,67.05,Placed,240000
76,80,Science,78,Yes,97,70.48,Placed,276000
60.8,68.4,Commerce,64.6,Yes,82.66,64.34,Placed,940000
58,40,Science,59,No,73,58.81,Not Placed,
64,67,Science,69.6,Yes,55.67,71.49,Placed,250000
66.5,66.8,Arts,69.3,Yes,80.4,71,Placed,236000
74,59,Commerce,73,Yes,60,56.7,Placed,240000
67,71,Science,64.33,Yes,64,61.26,Placed,250000
84,73,Commerce,73,No,75,73.33,Placed,350000
79,61,Science,75.5,Yes,70,68.2,Placed,210000
72,60,Science,69,No,55.5,58.4,Placed,250000
80.4,73.4,Science,77.72,Yes,81.2,76.26,Placed,400000
76.7,89.7,Commerce,66,Yes,90,68.55,Placed,250000
62,65,Commerce,60,No,84,64.15,Not Placed,
74.9,57,Science,62,Yes,80,60.78,Placed,360000
67,68,Commerce,64,Yes,74.4,53.49,Placed,300000
73,64,Commerce,77,Yes,65,60.98,Placed,250000
77.44,92,Commerce,72,Yes,94,67.13,Placed,250000
72,56,Science,69,No,55.6,65.63,Placed,200000
47,59,Arts,64,No,78,61.58,Not Placed,
67,63,Commerce,72,No,56,60.41,Placed,225000
82,64,Science,73,Yes,96,71.77,Placed,250000
77,70,Commerce,59,Yes,58,54.43,Placed,220000
65,64.8,Commerce,69.5,Yes,56,56.94,Placed,265000
66,64,Science,60,No,60,61.9,Not Placed,
85,60,Science,73.43,Yes,60,61.29,Placed,260000
77.67,64.89,Commerce,70.67,No,89,60.39,Placed,300000
52,50,Arts,61,No,60,58.52,Not Placed,
89.4,65.66,Science,71.25,No,72,63.23,Placed,400000
62,63,Science,66,No,85,55.14,Placed,233000
70,74,Commerce,65,No,83,62.28,Placed,300000
77,86,Arts,56,No,57,64.08,Placed,240000
44,58,Arts,55,Yes,64.25,58.54,Not Placed,
71,58.66,Science,58,Yes,56,61.3,Placed,690000
65,65,Commerce,75,No,83,58.87,Placed,270000
75.4,60.5,Science,84,No,98,65.25,Placed,240000
49,59,Science,65,Yes,86,62.48,Placed,340000
53,63,Science,60,Yes,70,53.2,Placed,250000
51.57,74.66,Commerce,59.9,Yes,56.15,65.99,Not Placed,
84.2,69.4,Science,65,Yes,80,52.72,Placed,255000
66.5,62.5,Commerce,60.9,No,93.4,55.03,Placed,300000
67,63,Science,64,No,60,61.87,Not Placed,
52,49,Commerce,58,No,62,60.59,Not Placed,
87,74,Science,65,Yes,75,72.29,Placed,300000
55.6,51,Commerce,57.5,No,57.63,62.72,Not Placed,
74.2,87.6,Commerce,77.25,Yes,75.2,66.06,Placed,285000
63,67,Science,64,No,75,66.46,Placed,500000
67.16,72.5,Commerce,63.35,No,53.04,65.52,Placed,250000
63.3,78.33,Commerce,74,No,80,74.56,Not Placed,
62,62,Commerce,60,Yes,63,52.38,Placed,240000
67.9,62,Science,67,Yes,58.1,75.71,Not Placed,
48,51,Commerce,58,Yes,60,58.79,Not Placed,
59.96,42.16,Science,61.26,No,54.48,65.48,Not Placed,
63.4,67.2,Commerce,60,No,58.06,69.28,Not Placed,
80,80,Commerce,72,Yes,63.79,66.04,Placed,290000
73,58,Commerce,56,No,84,52.64,Placed,300000
52,52,Science,55,No,67,59.32,Not Placed,
73.24,50.83,Science,64.27,Yes,64,66.23,Placed,500000
63,62,Science,65,No,87.5,60.69,Not Placed,
59,60,Commerce,56,No,55,57.9,Placed,220000
73,97,Commerce,79,Yes,89,70.81,Placed,650000
68,56,Science,68,No,73,68.07,Placed,350000
77.8,64,Science,64.2,No,75.5,72.14,Not Placed,
65,71.5,Commerce,62.8,Yes,57,56.6,Placed,265000
62,60.33,Science,64.21,No,63,60.02,Not Placed,
52,65,Arts,57,Yes,75,59.81,Not Placed,
65,77,Commerce,69,No,60,61.82,Placed,276000
56.28,62.83,Commerce,59.79,No,60,57.29,Not Placed,
88,72,Science,78,No,82,71.43,Placed,252000
52,64,Commerce,61,No,55,62.93,Not Placed,
78.5,65.5,Science,67,Yes,95,64.86,Placed,280000
61.8,47,Commerce,54.38,No,57,56.13,Not Placed,
54,77.6,Commerce,69.2,No,95.65,66.94,Not Placed,
64,70.2,Commerce,61,No,50,62.5,Not Placed,
67,61,Science,72,No,72,61.01,Placed,264000
65.2,61.4,Commerce,64.8,Yes,93.4,57.34,Placed,270000
60,63,Arts,56,Yes,80,56.63,Placed,300000
52,55,Commerce,56.3,No,59,64.74,Not Placed,
66,76,Commerce,72,Yes,84,58.95,Placed,275000
72,63,Science,77.5,Yes,78,54.48,Placed,250000
83.96,53,Science,91,No,59.32,69.71,Placed,260000
67,70,Commerce,65,No,88,71.96,Not Placed,
69,65,Commerce,57,No,73,55.8,Placed,265000
69,60,Commerce,65,No,87.55,52.81,Placed,300000
54.2,63,Science,58,No,79,58.44,Not Placed,
70,63,Science,66,No,61.28,60.11,Placed,240000
55.68,61.33,Commerce,56.87,No,66,58.3,Placed,260000
74,73,Commerce,73,Yes,80,67.69,Placed,210000
61,62,Commerce,65,No,62,56.81,Placed,250000
41,42,Science,60,No,97,53.39,Not Placed,
83.33,78,Commerce,61,Yes,88.56,71.55,Placed,300000
43,60,Science,65,No,92.66,62.92,Not Placed,
62,72,Commerce,65,No,67,56.49,Placed,216000
80.6,82,Commerce,77.6,No,91,74.49,Placed,400000
58,60,Science,72,No,74,53.62,Placed,275000
67,67,Commerce,73,Yes,59,69.72,Placed,295000
74,66,Commerce,58,No,70,60.23,Placed,204000
62,58,Science,53,No,89,60.22,Not Placed,
